Date,Weight (lb),Fat mass (lb),Lean mass (lb),Comments
2015-03-13 7:05 AM,207.3,47.1,160.2,
2015-03-12 7:12 AM,206.5,48.3,158.2,
2015-03-11 7:01 AM,205.1,48.4,156.7,
2015-03-10 6:59 AM,206,47,159,
2015-03-09 6:56 AM,206.4,48.1,158.3,
2015-03-06 6:39 AM,206.1,45.9,160.2,
2015-03-05 6:55 AM,205.5,48.7,156.8,
2015-03-04 6:45 AM,205.3,46.6,158.7,
2015-03-03 6:46 AM,206.7,48.2,158.5,
2015-03-02 6:40 AM,205.7,47.5,158.2,
2015-03-01 7:54 AM,204.9,48.5,156.4,
2015-03-01 7:51 AM,205,48.4,156.6,
2015-02-27 7:07 AM,206.2,46.2,160,
2015-02-26 6:53 AM,206.1,47.3,158.8,
2015-02-25 6:35 AM,205.7,48.5,157.2,
2015-02-24 7:59 PM,204.3,,,
2015-02-24 7:11 AM,205.4,48.5,156.9,
2015-02-23 6:51 AM,205.3,48.8,156.5,
2015-02-22 9:07 AM,207.8,48.7,159.1,
2015-02-21 8:00 AM,206.9,48.8,158.1,
2015-02-20 6:42 AM,208,48,160,
2015-02-19 6:50 AM,208.8,49.8,159,"Lent started, going for 40 days of paleo diet"
2015-02-18 7:06 AM,209.4,49.7,159.7,
2015-02-17 7:11 AM,209.2,51.1,158.1,
2015-02-16 8:27 AM,208.9,50.4,158.5,
2015-02-13 7:00 AM,208.8,48.9,159.9,
2015-02-12 6:54 AM,209.2,49.7,159.5,
2015-02-11 6:04 AM,208.7,51,157.7,
2015-02-10 7:02 AM,208.3,50.5,157.8,
2015-02-09 7:10 AM,209.5,52,157.5,
2015-02-07 8:33 AM,208.7,48.9,159.8,
2015-02-06 6:45 AM,208.6,49,159.6,
2015-02-05 7:09 AM,209.2,49.1,160.1,
2015-02-04 6:39 AM,210.8,49.8,161,
2015-02-03 7:06 AM,211.5,50.8,160.7,
2015-02-02 7:18 AM,210.9,49.6,161.3,
2015-01-31 8:24 AM,208.2,49.1,159.1,
2015-01-30 7:10 AM,208.3,49.7,158.6,
2015-01-29 7:04 AM,208,49.9,158.1,
2015-01-28 7:01 AM,207.1,49.7,157.4,
2015-01-27 6:55 AM,208.7,48.2,160.5,
2015-01-26 6:58 AM,208.7,48.7,160,
2015-01-23 7:32 AM,206.8,48.5,158.3,
2015-01-22 7:10 AM,208.9,48.9,160,
2015-01-21 6:56 AM,209.1,48.9,160.2,
2015-01-20 7:04 AM,207.2,48.6,158.6,
2015-01-18 9:01 AM,206.1,48.2,157.9,
2015-01-16 6:59 AM,209.2,49.1,160.1,
2015-01-15 7:06 AM,208.7,48.7,160,
2015-01-14 7:36 AM,209.1,49,160.1,
2015-01-13 7:10 AM,209,49.9,159.1,
2015-01-12 7:14 AM,206.9,51.1,155.8,
2015-01-09 7:01 AM,208.3,48.7,159.6,
2015-01-08 7:31 AM,209.7,49.3,160.4,
2015-01-07 6:59 AM,208.4,49.1,159.3,
2015-01-06 6:58 AM,209.8,49.8,160,
2015-01-05 7:00 AM,210.7,50.2,160.5,
2015-01-04 9:00 AM,209.8,48.4,161.4,
2015-01-03 8:33 AM,209,49.8,159.2,
2015-01-02 7:40 AM,209.8,50.1,159.7,
2015-01-02 7:38 AM,210.1,50.1,160,
2014-12-31 7:35 AM,208.4,49.1,159.3,
2014-12-24 7:43 AM,206.6,47,159.6,
2014-12-23 6:49 AM,207,46.6,160.4,
2014-12-22 7:09 AM,207,46.7,160.3,
2014-12-19 6:41 AM,207.9,45.8,162.1,
2014-12-18 6:42 AM,205.5,46.4,159.1,
2014-12-17 6:45 AM,206.9,48.5,158.4,
2014-12-16 7:02 AM,207.2,48,159.2,
2014-12-15 7:00 AM,208,47.7,160.3,
2014-12-11 7:14 AM,205.8,47.7,158.1,
2014-12-10 6:59 AM,205.7,46.2,159.5,
2014-12-09 6:30 AM,205.9,46.5,159.4,
2014-12-08 7:05 AM,205.4,47.4,158,
2014-12-07 7:53 AM,206.2,46.8,159.4,
2014-12-04 6:12 AM,206.1,46.2,159.9,
2014-12-03 6:40 AM,207,46.7,160.3,
2014-12-02 6:28 AM,207.6,47.1,160.5,
2014-11-27 6:37 AM,207.1,46.4,160.7,
2014-11-26 7:00 AM,205.3,45.6,159.7,
2014-11-25 7:04 AM,203.3,47.5,155.8,
2014-11-24 6:44 AM,204.5,47.4,157.1,
2014-11-20 6:54 AM,205.3,44.8,160.5,
2014-11-19 7:02 AM,203.6,46.2,157.4,
2014-11-19 7:02 AM,203.5,,,
2014-11-14 7:20 AM,205.4,45.1,160.3,
2014-11-13 7:32 AM,205.1,45.4,159.7,
2014-11-12 6:53 AM,204.6,46.2,158.4,
2014-11-11 7:14 AM,205.3,46.4,158.9,
2014-11-10 6:55 AM,205.1,46,159.1,
2014-11-08 9:12 AM,205.4,44.3,161.1,
2014-11-06 6:49 AM,204.6,45.5,159.1,
2014-11-05 7:02 AM,204.3,46.4,157.9,
2014-11-04 7:00 AM,204.3,48.4,155.9,
2014-10-30 6:58 AM,204.9,45,159.9,
2014-10-29 7:01 AM,204.8,44.8,160,
2014-10-25 6:12 PM,203.5,39.9,163.6,
2014-10-25 10:07 AM,199.1,38.5,160.6,
2014-10-24 5:52 PM,198.5,37,161.5,
2014-10-24 9:53 AM,196.8,37.5,159.3,
2014-10-24 7:04 AM,202.1,44.4,157.7,
2014-10-22 7:04 AM,202.7,44.7,158,
2014-10-21 6:59 AM,203.6,43.8,159.8,
2014-10-17 6:44 AM,202.8,42.6,160.2,
2014-10-16 7:10 AM,203.6,44.6,159,
2014-10-15 6:43 AM,202.8,43.1,159.7,
2014-10-10 6:57 AM,202.3,42.8,159.5,
2014-10-08 6:52 AM,201,43.8,157.2,
2014-10-03 7:10 AM,203,44,159,
2014-10-02 6:45 AM,204.3,44.5,159.8,
2014-10-01 6:38 AM,204.9,45,159.9,
2014-09-30 6:54 AM,205.8,43.3,162.5,
2014-09-27 10:12 AM,202.5,44.3,158.2,
2014-09-26 6:47 AM,203.2,44.6,158.6,
2014-09-25 6:45 AM,203.5,43.7,159.8,
2014-09-24 6:54 AM,201.7,44.8,156.9,
2014-09-23 6:53 AM,204.3,44.8,159.5,
2014-09-22 6:39 AM,205.5,45.4,160.1,
2014-09-20 7:26 AM,203.4,43.1,160.3,
2014-09-19 6:50 AM,202.6,43.9,158.7,
2014-09-19 6:47 AM,200.8,42.5,158.3,
2014-09-18 6:39 AM,203.4,44.5,158.9,
2014-09-17 6:33 AM,203.2,45.3,157.9,
2014-09-16 6:31 AM,201.7,46.2,155.5,
2014-09-15 6:22 AM,202.3,45.1,157.2,
2014-09-11 7:21 AM,202.4,44.6,157.8,
2014-09-10 8:02 AM,203.2,43.7,159.5,
2014-09-09 8:01 AM,203.3,44.8,158.5,
2014-09-08 8:44 AM,201.1,45.5,155.6,
2014-09-06 8:35 AM,200.8,44.9,155.9,
2014-09-05 7:10 AM,203.6,44.5,159.1,
2014-09-04 9:21 AM,201.9,42.1,159.8,
2014-09-03 6:21 AM,203.6,44.9,158.7,
2014-09-02 7:04 AM,204.8,45.1,159.7,
2014-08-31 8:10 AM,203.7,45,158.7,
2014-08-30 7:07 AM,204.6,46,158.6,
2014-08-29 7:03 AM,203.6,42.7,160.9,
2014-08-27 6:53 AM,202.9,45.4,157.5,
2014-08-26 7:11 AM,203.9,46.7,157.2,
2014-08-23 8:43 AM,206.1,44.9,161.2,
2014-08-17 7:23 AM,199.4,42,157.4,
